topic,source,target,relation,note
沙漠之王,杰克,杨瑞恩,父亲,
沙漠之王,杰克,罗伊书,安慰,一起探讨工作的意义。
沙漠之王,杰克,美珍,前夫,已经离婚。
沙漠之王,民夏,杨瑞恩,朋友,
沙漠之王,海日,杨瑞恩,载走,偷了杰克的车，发现女孩还在车上。
沙漠之王,海日妈妈,海日,母亲,
沙漠之王,海日爸爸,海日,父亲,
沙漠之王,海日爸爸,海日妈妈,丈夫,
沙漠之王,社长,赵天雄,聘请,
沙漠之王,社长,郑贤淑,赞助,
沙漠之王,美珍,杨瑞恩,母亲,
沙漠之王,美珍男朋友,美珍,老板，男朋友,不愿意对小孩承认。
沙漠之王,贾斯丁,李正旭,面试,
沙漠之王,贾斯丁,杰克,经理,
沙漠之王,贾斯丁,罗伊书,经理,
沙漠之王,贾斯丁,艾米,经理,
沙漠之王,贾斯丁,里查德,经理,
沙漠之王,贾斯丁,金民秀,面试,
沙漠之王,跆拳道馆长,杨瑞恩,老师,
沙漠之王,跆拳道馆长,美珍,喜欢,
沙漠之王,郑贤淑,伸展正义记者,害死,因为被威胁，所以害死。
沙漠之王,郑贤淑,杰克,领队,
沙漠之王,郑贤淑,游乐场老板,队长,
